# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_4410;For me, the biggest challenge while [Root.GetsufiMoPenanceMeditation] is the solitude. As I sit here and reflect upon [Root.GetsufiMoCode], thoughts enter my mind which I desperately want to share with someone, but I have barely exchanged a single word since I began my seclusion. I glance out of my window only to see [potential_friend.GetTitledFirstName] engaged in a lively conversation with some friends.;Le plus dur quand il s'agit de passer du temps [Root.GetsufiMoPenanceMeditation], c'est la solitude. Tandis que je suis ici à réfléchir seul[Root.GetNoneE] sur [Root.GetsufiMoCode], je me dis que j'ai besoin d'échanger avec quelqu'un. Je jette un coup d'œil par la fenêtre et aperçois [potential_friend.Get_le_Title][potential_friend.GetTitledFirstName] engagé[potential_friend.GetNoneE] dans une conversation animée avec des amis.;Die größte Herausforderung während der [Root.GetsufiMoPenanceMeditation] ist die Einsamkeit. Während ich hier sitze und über  [Root.GetsufiMoCodedemder] meditiere, kommen mir Gedanken in den Sinn, die ich unbedingt mit anderen teilen möchte, aber seit ich in Abgeschiedenheit lebe, habe ich kaum ein Wort mit jemandem gewechselt. Ich blicke aus meinem Fenster und sehe plötzlich [potential_friend.GetTitledFirstName] tief in ein Gespräch mit ein paar Freunden verwickelt.;;Para mí, lo más duro de la [Root.GetsufiMoPenanceMeditation] es la soledad. Mientras reflexiono acerca de [Root.GetsufiMoCode], me invaden ideas que necesito compartir con alguien, pero desde que empezó mi reclusión, apenas he hablado con nadie. Por la ventana he visto a [potential_friend.GetTitledFirstName] charlar distendidamente con sus amigos.;;;;;;;;;x
EVTOPTA_SUFI_4410;I will go down there and join them, if only for a few minutes!;Je vais les rejoindre, ne serait-ce que pour quelques minutes !;Ich muss hinunter und mich ihnen anschließen, wenn auch nur für ein paar Minuten!;;Voy a hablar con ellos, aunque sea unos instantes.;;;;;;;;;x
EVTOPTB_SUFI_4410;I should stay here, alone with my thoughts.;Je dois rester ici, seul[Root.GetNoneE] avec mes pensées.;Ich sollte hier bleiben, allein mit meinen Gedanken.;;Es mejor que siga a solas con mis pensamientos.;;;;;;;;;x
EVTDESC_SUFI_4411;While [potential_friend.GetTitledFirstName] and [potential_friend.GetHerHis] friends were surprised to see me, they were excellent company! As I stood there, surrounded by people, I could not stop talking. What was supposed to be a few minutes turned into an hour before my companions had to excuse themselves and get back to their duties.;Même si [potential_friend.Get_le_Title][potential_friend.GetTitledFirstName] et ses amis ont été surpris de me voir, ils ont été d'agréable compagnie ! Alors que j'étais là, entouré[Root.GetNoneE] de gens, je ne pouvais m'empêcher de parler. Ce qui devait durer quelques minutes a finalement duré une heure, jusqu'au moment où mes compagnons durent retourner à leurs occupations.;[potential_friend.GetTitledFirstName] und [potential_friend.GetHerHis]e Freunde waren zwar überrascht, mich zu sehen, aber sie waren ausgezeichnete Gesellschaft! Umgeben von Menschen konnte ich nicht mehr aufhören zu reden. Was nur Minuten dauern sollte, wurde schließlich eine Stunde, bevor sich meine Gefährten entschuldigten, um sich wieder ihren Pflichten zuzuwenden.;;[potential_friend.GetTitledFirstName] y sus amigos se han sorprendido de verme, pero han resultado ser una compañía estupenda. No podía parar de hablar. Aunque solo quería departir durante unos minutos, nos hemos pasado horas hablando, hasta que mis interlocutores han tenido que regresar a sus labores.;;;;;;;;;x
EVTOPTA_SUFI_4411;That was nice, although I know I shouldn't have.;C'était très plaisant, bien que je n'aurais pas dû.;Es war schön, obwohl ich das nicht hätte tun sollen.;;Ha sido agradable, aunque ahora me arrepiento.;;;;;;;;;x
EVTDESC_SUFI_4412;This is the challenge I have been given, and I will not give up so quickly. I returned to my copy of [Root.Religion.GetScriptureName] and continued where I had left off. During the first few pages, thoughts about the jolly friends in the courtyard kept distracting me, but after a while I found peace in my reading.;C'est le défi que j'ai reçu, et je n'abandonnerai pas si vite. Je suis retourné à ma copie [Root.Get_du_Scripture][Root.Religion.GetScriptureName] et ai continué où j'avais laissé. Pendant les premières pages, les pensées sur les amis joyeux dans la cour ne cessaient de me distraire, mais après un moment, j'ai trouvé la paix dans ma lecture.;Das ist meine Herausforderung und ich werde nicht so einfach aufgeben. Ich wandte mich wieder meiner Ausgabe von "[Root.Religion.GetScriptureName]" zu und machte dort weiter, wo ich aufgehört hatte. Während der ersten paar Seiten wurde ich noch von Gedanken über die fröhlichen Freunde im Hof abgelenkt, aber nach einiger Zeit fand ich Ruhe beim Lesen.;;Se me ha encomendado esta misión y no puedo rendirme a la primera de cambio. He vuelto a las páginas de las sagradas escrituras y he continuado con mi lectura. Durante las primeras páginas, la idea de que aquellos amigos estaban conversando alegremente en el patio me distraía, pero al final he podido concentrarme.;;;;;;;;;x
EVTOPTA_SUFI_4412;Being alone is not so bad, after all.;Être seul[Root.GetNoneE] n'est pas si mal, finalement.;Allein zu sein ist schlussendlich doch nicht so schlimm.;;La soledad no está tan mal.;;;;;;;;;x
EVTDESC_SUFI_4413;I left the window and returned to my copy of [Root.Religion.GetScriptureName] and continued where I had left off. However, my heart was not really in it, and thoughts about the jolly friends in the courtyard kept distracting me. Then my thoughts drifted to my own companions, and how they had made no attempts to get in touch for weeks...;Je me suis éloigné[Root.GetNoneE] de la fenêtre et suis retourné[Root.GetNoneE] à ma copie [Root.Get_du_Scripture][Root.Religion.GetScriptureName], et j'ai repris là où je m'étais arrêté[Root.GetNoneE]. Cependant, mon cœur n'y était pas vraiment, et les pensées sur les amis joyeux dans la cour continuaient d'occuper mon esprit. Puis mes pensées se sont dirigées vers mes propres compagnons, et au fait qu'ils n'aient pas tenté d'entrer en contact ces dernières semaines...;Ich verließ das Fenster und wandte mich wieder meiner Ausgabe von "[Root.Religion.GetScriptureName]" zu, um dort weiterzumachen, wo ich aufgehört hatte. Mein Herz war jedoch nicht voll bei der Sache und Gedanken über die fröhlichen Freunde im Hof lenkten mich ab. Dann musste ich an meine eigenen Gefährten denken und daran, dass sie wochenlang keinen Versuch unternommen haben, mit mir Kontakt aufzunehmen ...;;"Me despegué de la ventana y retomé la lectura de las sagradas escrituras. Sin embargo, no lograba concentrarme, seguía pensando en la animada conversación que estaba manteniendo aquel grupo de amigos en el patio. Pensé en mis propios amigos, que no habían tratado de contactar conmigo desde hacía semanas...;;;;;;;;;x
EVTOPTA_SUFI_4413;How did [Root.GetsufiMoSaint] cope with this loneliness?;Comment [Root.GetsufiMoSaint] a fait pour faire face à cette solitude ?;[Root.GetsufiMoSaint], wie hast du dich mit der Einsamkeit abgefunden?;;¿Cómo era capaz de soportar la soledad [Root.GetsufiMoSaint]?;;;;;;;;;x
EVTDESC_SUFI_4414;I cannot make sense of this passage of [Root.Religion.GetScriptureName]! The words are archaic and their meaning is deeply hidden by copious layers of symbolism. It would greatly benefit my spiritual development if I discovered the text's essence on my own, although at this point, perhaps I would be better of asking my [court_spiritual.GetJobTitle].;Je ne comprends pas un passage [Root.Get_du_Scripture][Root.Religion.GetScriptureName] ! Des mots sont désuets et leur signification est profondément cachée par de nombreuses expressions imagées. Cela profiterait grandement à mon développement spirituel si je découvrais l'essence même du texte, bien qu'à ce stade, il serait peut-être préférable de demander à m[court_spiritual.Get_on_JobTitle][court_spiritual.GetJobTitle].;Ich kann in diesem Abschnitt aus "[Root.Religion.GetScriptureName]" keinen Sinn erkennen! Die Worte sind archaisch und ihre Bedeutung verbirgt sich tief unter mehreren symbolistischen Schichten. Es würde meiner spirituellen Entwicklung zugutekommen, wenn ich die Essenz des Textes alleine enthülle, aber vielleicht sollte ich nun doch eher meine[court_spiritual.GetnMale] [court_spiritual.GetJobTitle] zurate ziehen.;;No logro entender este pasaje de las sagradas escrituras. El lenguaje es arcaico y el sentido se oculta tras varias capas de simbolismo. Desentrañar la esencia del texto sin ayuda sería un gran paso en mi desarrollo espiritual, aunque tal vez debería consultarlo con mi [court_spiritual.GetJobTitle].;;;;;;;;;x
EVTOPTA_SUFI_4414;I will figure this out on my own.;Je veux comprendre par moi-même.;Ich werde alleine dahinterkommen.;;Lo descifraré por mi cuenta.;;;;;;;;;x
EVTOPTB_SUFI_4414;There is no shame in asking for help.;Il n'y a aucune honte à demander de l'aide.;Es ist keine Schande, um Rat zu fragen.;;No tiene nada de malo pedir ayuda.;;;;;;;;;x
EVTOPTA_SUFI_4414_TOOLTIP_SUCCESS;§Y[Root.GetTitledFirstName]§! interprets the passage successfully, a testament to [Root.GetHerHis] great understanding of [Root.Religion.GetScriptureName].\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! interprète avec brio le passage, un témoignage de sa grande compréhension [Root.Get_du_Scripture][Root.Religion.GetScriptureName].\n;§Y[Root.GetTitledFirstName]§! interpretiert den Abschnitt erfolgreich und zeigt, wie groß [Root.GetHerHis] Verständnis von "[Root.Religion.GetScriptureName]" ist.\n;;§Y[Root.GetTitledFirstName]§! consigue interpretar el pasaje, lo que demuestra su extenso conocimiento de las sagradas escrituras.\n;;;;;;;;;x
EVTOPTA_SUFI_4414_TOOLTIP_FAILURE;§Y[Root.GetTitledFirstName]§! fails to make sense of the passage.\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! échoue à donner du sens au passage.\n;§Y[Root.GetTitledFirstName]§! kann den Abschnitt nicht sinnhaft deuten.\n;;§Y[Root.GetTitledFirstName]§! no consigue entender el pasaje.\n;;;;;;;;;x
EVTOPTB_SUFI_4414_TOOLTIP_SUCCESS;§Y[court_spiritual.GetTitledName]§! manages to explain the passage to §Y[Root.GetTitledFirstName]§!.\n;[court_spiritual.Get_Le_Title]§Y[court_spiritual.GetTitledName]§! réussit à expliquer le passage [Root.Get_au_Title]§Y[Root.GetTitledFirstName]§!.\n;§Y[court_spiritual.GetTitledName]§! schafft es, §Y[Root.GetTitledFirstName]§! den Abschnitt zu erklären.\n;;§Y[court_spiritual.GetTitledName]§! consigue explicarle el pasaje a §Y[Root.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTOPTB_SUFI_4414_TOOLTIP_FAILURE;§Y[court_spiritual.GetTitledName]§! is unhelpful and §Y[Root.GetTitledFirstName]§! fails to make sense of the passage.\n;[court_spiritual.Get_Le_Title]§Y[court_spiritual.GetTitledName]§! n'apporte rien et [Root.Get_le_Title]§Y[Root.GetTitledFirstName]§! échoue à donner du sens au passage.\n;§Y[court_spiritual.GetTitledName]§! ist keine Hilfe und §Y[Root.GetTitledFirstName]§! kann den Abschnitt nicht sinnhaft deuten.\n;;§Y[court_spiritual.GetTitledName]§! no sirve de ayuda y §Y[Root.GetTitledFirstName]§! no consigue entender el pasaje.\n;;;;;;;;;x
EVTDESC_SUFI_4415;A true follower of [Root.GetsufiMoCode] does not give up easily. I kept at it, reading the passage again and again, compared it with other holy texts and mulled over the wording for hours at end. It went slowly, but every now and then I uncovered a new piece of the puzzle, and suddenly, I saw it! Such elegance, such depth! I will carry this revelation with me until the day I die.;Quelqu'un respectant véritablement [Root.GetsufiMoCode] n'abandonne pas facilement. J'ai lu le passage encore et encore, l'ai comparé avec d'autres, et y ai réfléchi pendant des heures. J'avançais lentement, découvrant de temps en temps un nouveau morceau du puzzle, et soudain tout devint clair ! Une révélation élégante et profonde, dont je me souviendrai jusqu'à mon dernier souffle !;Ein wahrer Anhänger von [Root.GetsufiMoCodedemder] gibt nicht so einfach auf. Ich las den Abschnitt wieder und wieder, verglich ihn mit anderen heiligen Texten und brütete stundenlang über den Wortlaut. Ich kam nur langsam voran, aber Stück für Stück enthüllte ich einen neuen Teil des Rätsels und plötzlich sah ich es! Solch Eleganz, solch Tiefe! Ich werde diese Offenbarung bis ans Ende meiner Tage bei mir tragen.;;Los verdaderos seguidores de [Root.GetsufiMoCode] no se rinden fácilmente. Seguí leyendo el pasaje una y otra vez, lo comparé con otros textos sagrados y pasé horas dando vueltas a las palabras. Mi progreso fue lento, pero poco a poco fui uniendo piezas del rompecabezas ¡y finalmente todo cuadró! ¡Qué texto más elegante y profundo! Sus revelaciones me acompañarán toda la vida.;;;;;;;;;x
# EVTOPTA_SUFI_4415_A;The wisdom of [Root.GetsufiMoGod] is infinite and indisputable.;La sagesse de [Root.GetsufiMoGod] est infinie et indiscutable.;Die Weisheit von [Root.GetsufiMoGod] ist grenzenlos und unleugbar.;;La sabiduría de [Root.GetsufiMoGod] es infinita e innegable.;;;;;;;;;x
# EVTOPTA_SUFI_4415_B;The wisdom of [Root.Religion.GetScriptureName] is infinite and indisputable.;La sagesse contenue dans [Root.Get_le_Scripture][Root.Religion.GetScriptureName] est infinie et indiscutable.;Die Weisheit im Werk "[Root.Religion.GetScriptureName]" ist grenzenlos und unleugbar.;;La sabiduría de las sagradas escrituras es infinita e innegable.;;;;;;;;;x
EVTDESC_SUFI_4416;In my obstinacy, I refused to ask for help. Surely I, the [Root.GetTitle], would know enough of [Root.Religion.GetScriptureName] to understand the meaning of this passage! Hour upon hour I sat staring at the words, trying to make sense of them, but each interpretation I could think of felt lackluster and hollow...;Dans mon obstination, j'ai refusé de demander de l'aide. Moi, [Root.Get_le_Title][Root.GetTitle], en sais assez sur [Root.Get_le_Scripture][Root.Religion.GetScriptureName] pour comprendre la signification de ce passage ! Heure après heure, je me suis assis[Root.GetNoneE] à regarder les mots, en essayant de leur donner un sens, mais chaque interprétation à laquelle je pouvais penser était terne et creuse...;Stur wie ich bin, weigerte ich mich, um Rat zu fragen. Sicherlich weiß ich, [Root.Getderdie] [Root.GetTitle], doch genug von "[Root.Religion.GetScriptureName]", um die Bedeutung dieses Abschnitts zu erkennen! Stunde um Stunde saß ich da und starrte auf die Worte, versuchte, einen Sinn darin zu erkennen. Aber jede Interpretation, die mir einfiel, fühlte sich schwach und hohl an ...;;Mi obstinación me impidió pedir ayuda. Un/a [Root.GetTitle] debería ser capaz de conocer las sagradas escrituras lo suficiente como para entender todos los pasajes. Pasé horas contemplando las palabras hasta que empecé a sacar conclusiones, pero cada interpretación que se me ocurría resultaba decepcionante o poco trascendental.;;;;;;;;;x
# EVTOPTA_SUFI_4416_A;The wisdom of [Root.GetsufiMoGod] is beyond my understanding.;La sagesse de [Root.GetsufiMoGod] est au-delà de ma compréhension.;Die Weisheit von [Root.GetsufiMoGod] entzieht sich meinem Verständnis.;;La sabiduría de [Root.GetsufiMoGod] va más allá de mi comprensión.;;;;;;;;;x
# EVTOPTA_SUFI_4416_B;The wisdom of [Root.Religion.GetScriptureName] is beyond my understanding.;La sagesse contenue dans [Root.Get_le_Scripture][Root.Religion.GetScriptureName] est au-delà de ma compréhension.;Die Weisheit des Werkes "[Root.Religion.GetScriptureName]" entzieht sich meinem Verständnis.;;La sabiduría de las sagradas escrituras va más allá de mi comprensión.;;;;;;;;;x
EVTDESC_SUFI_4417;Being proud is not in accordance with [Root.GetsufiMoCode], so I decided to ask [court_spiritual.GetJobTitle] [court_spiritual.GetFirstName] for help. [court_spiritual.GetSheHeCap] was happily surprised by my request and together we proceeded to unravel the wordings of the passage. With [court_spiritual.GetFirstName]'s patient guidance, I managed to make sense of it at the end!;L'orgueil n'est pas conforme à [Root.GetsufiMoCode], alors j'ai décidé de m'adresser [court_spiritual.Get_au_JobTitle][court_spiritual.GetJobTitle] [court_spiritual.GetFirstName] pour obtenir de l'aide. [court_spiritual.GetIlElleCap] a été agréablement surpris[Root.GetNoneE] par ma demande et ensemble nous avons démêlé les formulations du passage. Avec l'aide et la patience de [court_spiritual.GetFirstName], j'ai enfin réussi à comprendre le passage !;Stolzes Verhalten verstößt gegen [Root.GetsufiMoCodedieden], also entschloss ich mich, [court_spiritual.GetJobTitle] [court_spiritual.GetFirstName] um Rat zu fragen. [court_spiritual.GetSheHeCap] war von meiner Bitte angenehm überrascht und gemeinsam fingen wir an, die Worte in dem Abschnitt aufzulösen. Mit der geduldigen Hilfe von [court_spiritual.GetFirstName] konnte ich am Ende die Bedeutung erkennen!;;El orgullo no está en consonancia con los preceptos de [Root.GetsufiMoCode]. Por ello, he decidido pedir ayuda al/a la [court_spiritual.GetJobTitle] [court_spiritual.GetFirstName]. Mi petición le ha sorprendido gratamente, y nos hemos puesto a estudiar el pasaje. Con su ayuda paciente he podido entenderlo todo a la perfección.;;;;;;;;;x
