#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
tut_5a_16;To the right you can see a tab named Fleets. Click that and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.;Sur la droite se trouve l'onglet Flottes. Cliquez dessus et vous verrez des boutons pour construire des navires plutôt que de lever des troupes. Créez une flotte pour votre vassal le comte de Fife, puis déplacez-la à Gowrie.;Rechts seht Ihr einen Reiter zur Erstellung persönlicher Flottenverbände. Wenn Ihr ihn anklickt, erscheinen Schaltflächen zum Ausheben einer Flotte statt einer Armee. Rekrutiert die Flotte Eures Vasallen, des Grafen von Fife, und sendet sie ebenfalls nach Gowrie.;;A la derecha puedes ver una pestaña llamada Flotas. Haz clic ahí y verás los botones de armar flotas en lugar de las levas de los ejércitos. Crea la flota de tu vasallo el Conde de Fife y trasládala a Gowrie.;;;;;;;;;x
tut_5a_21;You have the organization bar, the disband unit button and the split (create new unit) button. Then you have information on the number of ships, and towards the bottom we have the load capacity. This is how many troops will fit on the ships in this fleet. Unfortunately this number is a smaller number than the number of men in your current army, so select the army again. ;Ici se trouve la barre d'organisation, le bouton de démantèlement et le bouton de division (créer une unité). Ensuite se trouvent des données sur le nombre de navires, et plus bas, la charge utilisable. Cette dernière valeur correspond aux troupes que vous pouvez transporter avec cette flotte. Malheureusement, ce nombre est inférieur au nombre de soldats que vous possédez. Sélectionnez votre armée à nouveau.;Hier findet Ihr die Verwaltungsleiste, eine Schaltfläche zur Truppenauflösung sowie eine Schaltfläche zum Aufteilen (und Neuerstellen) einer Einheit. Außerdem gibt es Informationen über die Anzahl der Schiffe und im unteren Bereich auch über die Ladekapazität der Flotte. Sie gibt Aufschluss darüber, wie viele Soldaten auf die Schiffe geladen werden können. Leider ist diese Zahl kleiner als die der Männer in Eurer derzeitigen Armee, Ihr müsst die Armee also noch einmal auswählen. ;;Tienes la barra de organización, el botón de disolver unidad y el botón dividir (crear nueva unidad). Así tienes información sobre el número de barcos y en la parte inferior tenemos la capacidad de carga. Éste es el número de tropas que caben en los barcos de esta flota. Desafortunadamente este número es menor al número de hombres que actualmente conforman tu ejército, así que selecciona el ejército de nuevo.;;;;;;;;;x
tut_4a_4;To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. You will see two icons. The left one will take you to his character screen. The right one is for diplomacy actions though, so click that. (The portrait you see here is just an example, not the actual Earl.);Pour commencer, faites un clic droit sur votre demi-frère, le comte Malmure d'Atholl. Il se trouve en bas à gauche de l'arbre généalogique, sous la dénomination 'frères et sœurs'. Vous verrez également deux icônes. Celle de gauche vous donne accès à la fiche de ce personnage, celle de droite aux actions de diplomatie. Cliquez sur celle de droite. (Le portrait du comte est juste un exemple, il ne s'agit pas du véritable comte);Klickt als ersten Schritt bitte auf Euren Stiefbruder, Graf Malmure von Atholl. Ihr findet ihn unten links im Familienreiter, unter der Überschrift ‚Geschwister‘. Hier seht Ihr zwei Symbole. Das linke Symbol bringt Euch zum Charakterbildschirm,  das rechte wird für diplomatische Aktionen verwendet. Wählt bitte das rechte Symbol (Diplomatie) aus. (Das hier angezeigte Bild hat nur Beispielfunktion und zeigt nicht den echten Grafen.);;Para comenzar, haz clic sobre tu hermanastro, Earl Malmure de Atholl, con el botón derecho. Le encontrarás en la parte inferior izquierda de la pestaña Familia, bajo el encabezado 'hermanos'. Verás dos iconos: el de la izquierda te llevará a la pantalla de tu personaje, mientras que el de la derecha ofrece acciones diplomáticas. Haz clic en este último. (El retrato que aquí ves es solo un ejemplo, no es el Conde.);;;;;;;;;x
#TRIBAL_VASSAL_CONTROL_ON;Gives total control over tribal vassal levies.\n;Donne le contrôle total sur les troupes des vassaux tribaux.\n;Verleiht vollständige Kontrolle über die Stammestruppen von Vasallen.\n;; Da un control total sobre las levas tribales vasallas.\n;;;;;;;;;x
#TRIBAL_VASSAL_CONTROL_OFF;Tribal vassals will not provide levies and instead serve as your allies.\n;Les vassaux tribaux ne fournissent pas de troupes. Au lieu de cela, ils vous servent en tant qu'alliés.\n;Stammesvasallen liefern keine Truppen, sondern zählen als Verbündete.\n;;Los vasallos tribales no proporcionarán levas pero sí te servirán como aliados.\n;;;;;;;;;x
#enables_centralization_laws;Enables Centralization Laws for Dukes and above.;Active les lois de centralisation pour les ducs et titres supérieurs.;Aktiviert Zentralisierungsgesetze für Herzöge und höhere Ränge.;;    Habilita las Leyes de Centralización para Duques y superiores.;;;;;;;;;x
#disables_centralization_laws;Disables Centralization Laws.;Désactive les lois de centralisation.;Deaktiviert Zentralisierungsgesetze.;;Deshabilita las Leyes de Centralización      ;;;;;;;;;x
BAD_SERVER_PASSWORD;Invalid password, please try again.;Mot de passe invalide, réessayez.;Ungültiges Passwort. Bitte versuchen Sie es erneut.;;Contraseña inválida, por favor intente otra vez;;;;;;;;;x
OBSERVE;Observe Game;Mode spectateur;Spiel beobachten;;Observar Juego;;;;;;;;;x
EVTTOOLTIP91374A;[Root.Spouse.GetName] is asked to leave [From.GetName] alone.;On a demandé à [Root.Spouse.GetName] de laisser [From.GetName] tranquille.;[Root.Spouse.GetName] wurde aufgetragen, [From.GetName] in Ruhe zu lassen.;; Se pide a [Root.Spouse.GetName] que deje en paz a [From.GetName].;;;;;;;;;x
EVTTOOLTIP91374B;[Root.Spouse.GetName] is informed about [From.GetName]s plans..;On a informé [Root.Spouse.GetName] des projets de [From.GetName].;[Root.Spouse.GetName] wurde über die Pläne von [From.GetName] informiert.;; Se informa a [Root.Spouse.GetName] de los planes de [From.GetName].;;;;;;;;;x
LEARNING_SCENARIO;Learning Scenario;Scénario d'apprentissage;Übungsszenario;;Escenario de Aprendizaje;;;;;;;;;x
tb_steppe_barracks_1;Barracks;Caserne;Kaserne;;Cuarteles;;;;;;;;;x
tb_steppe_barracks_2;Barracks;Caserne;Kaserne;;Cuarteles;;;;;;;;;x
tb_steppe_barracks_3;Barracks;Caserne;Kaserne;;Cuarteles;;;;;;;;;x
tb_steppe_barracks_4;Barracks;Caserne;Kaserne;;Cuarteles;;;;;;;;;x
tb_steppe_stable_1;Stable;Écurie;Ställe;;Establo;;;;;;;;;x
tb_steppe_stable_2;Stable;Écurie;Ställe;;Establo;;;;;;;;;x
tb_steppe_stable_3;Stable;Écurie;Ställe;;Establo;;;;;;;;;x
tb_steppe_stable_4;Stable;Écurie;Ställe;;Establo;;;;;;;;;x
tb_arsenal_1;Weaponsmith;Armurier;Waffenschmied;;Armero;;;;;;;;;x
tb_arsenal_2;Weaponsmith;Armurier;Waffenschmied;;Armero;;;;;;;;;x
tb_arsenal_3;Weaponsmith;Armurier;Waffenschmied;;Armero;;;;;;;;;x
tb_arsenal_4;Weaponsmith;Armurier;Waffenschmied;;Armero;;;;;;;;;x
tb_hillfort_1_desc;A simple earthen hillfort will provide limited defence against our enemies.;Un fort rudimentaire en terre battue construit sur une colline fournit une défense limitée contre nos ennemis.;Eine einfache, aus Erde aufgeschüttete Hügelfestung bietet gewissen Schutz vor Feinden.;;Un simple castro de adobe proporcionará una defensa limitada contra nuestros enemigos.;;;;;;;;;x
tb_hillfort_2_desc;With wooden palisades our hillfort will provide even more defence.;Avec une palissade en bois, notre fort sera mieux défendu.;Durch eine Holzpalisade bietet unsere Hügelfestung noch mehr Schutz.;;Con empalizadas de madera nuestro castro ofrecerá una mayor defensa.;;;;;;;;;x
tb_hillfort_3_desc;Reinforcing our wooden palisades with stone will strengthen the fort.;Une palissade en bois renforcée par de la pierre renforcera notre fort.;Eine Verstärkung der Holzpalisade würde unsere Festung noch besser schützen.;;Reforzando nuestras empalizadas de madera con piedras fortaleceremos la fortaleza.;;;;;;;;;x
tb_hillfort_4_desc;With the use of stone walls our hillfort will stand strong.;Grâce à ses murs de pierre, notre fort sera résistant.;Die Verwendung von Stein wird unsere Hügelfestung stärken.;; Con el uso de muros de piedra, nuestro poblado fortificado se mantendrá fuerte.;;;;;;;;;x
tb_market_town_1_desc;Establishing a permanent village in our settlement is essential in order to improve our trade.;Établir un village permanent dans notre colonie est essentiel pour le développement du commerce.;Die Gründung eines Dorfes ist entscheidend für die Förderung des Handels in unserer Siedlung.;;Para mejorar nuestro comercio, es de vital importancia que establezcamos un pueblo estable en nuestro asentamiento.;;;;;;;;;x
tb_market_town_2_desc;Further expanding the village to a town will allow even more inhabitants to settle down to improve our trade.;Agrandir le village pour en faire une ville permettra à davantage d'habitants de s'installer, ce qui développera le commerce.;Der Ausbau des Dorfes zu einem Städtchen erlaubt die Ansiedlung weiterer Einwohner. Dies fördert den Handel.;;Impulsar una expansión de aldea a ciudad, permitirá albergar más habitantes y mejorar nuestro comercio.;;;;;;;;;x
tb_market_town_3_desc;With some coin, the town will grow into a city with many traders and will improve our trade.;Avec un peu d'investissement, la ville deviendra une cité. Elle abritera de nombreux commerçants, et notre commerce ne s'en portera que mieux.;Durch eine kleine Investition wird aus dem Städtchen eine Stadt, die viele Händler anzieht und unseren Handel fördert.;;Con algunas monedas, la ciudad se convertirá en una metrópoli con multitud de comerciantes y mejorará nuestro comercio.;;;;;;;;;x
tb_market_town_4_desc;The city will grow large and hold many trade posts, as any trade centre ought to.;La cité va grandir et accueillir de nombreux comptoirs commerciaux, comme tout comptoir commercial qui se respecte.;Die Stadt wird sich entwickeln und viele Handelsniederlassungen gründen, so wie es bei einem Handelszentrum üblich ist.;;La ciudad crecerá de manera sustancial y albergará muchos puestos comerciales, como todo centro comercial que se precie.;;;;;;;;;x
tb_market_town_1;Market Village;Village marchand;Marktdorf;;Aldea Comercial;;;;;;;;;x
tb_market_town_2;Market Town;Ville marchande;Marktstädtchen;;Ciudad Comercial   ;;;;;;;;;x
tb_market_town_3;Market City;Cité marchande;Marktstadt;;Metrópoli Comercial;;;;;;;;;x
tb_market_town_4;Large Market City;Grande cité marchande;Große Marktstadt;;Gran Metrópoli Comercial;;;;;;;;;x
tb_arsenal_desc;This is where weapons are made, repaired and stored in preparation for war.;Ici, on fabrique, on répare et on entrepose des armes en préparation des guerres à venir.;Hier werden Waffen geschmiedet, repariert und für den Kriegsfall aufbewahrt.;; Aquí es donde se fabrican, se reparan y almacenan las armas para la guerra.;;;;;;;;;x
tb_training_grounds_desc;Our militia assembles here to train and arm themselves.;Nos miliciens viennent ici s'entraîner et s'armer.;Hier versammelt sich unsere Miliz zu Übungen und zur Bewaffnung.;;        Nuestra milicia se congrega aquí para armarse y entrenarse.;;;;;;;;;x
tb_barracks_desc;This is where our strong men muster to join our army in times of war.;C'est ici que nos hommes forts se rassemblent pour rejoindre l'armée lorsque la guerre éclate.;Hier versammeln sich die kräftigen Männer, die sich im Kriegsfall unserer Armee anschließen.;;Aquí es donde nuestros fuertes hombres se reúnen para alistarse a nuestro ejército en tiempos de guerra.;;;;;;;;;x
tb_militia_barracks_desc;This is where our settlers readies for war.;C'est ici que nos colons se préparent à la guerre.;Hier bereiten sich unsere Siedler auf den Krieg vor.;;Aquí es donde nuestros aldeanos se preparan para la guerra.;;;;;;;;;x
CB_NAME_DECADENCE_USURPTION;Decadence Usurption;Usurpation par décadence;Dekadenz-Usurpation;;Usurpación de Decadencia;;;;;;;;;x
WAR_NAME_DECADENCE_USURPTION;$ORDER$$FIRST_ADJ$ Decadence Usurption;$ORDER$$FIRST_ADJ$ Usurpation par décadence;$ORDER$$FIRST_ADJ$ Dekadenz-Usurpation;;$ORDER$$FIRST_ADJ$ Usurpación de Decadencia;;;;;;;;;x
cb_decadence_usurption_desc;Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.;Les musulmans peuvent utiliser ce casus belli pour usurper des titres aux membres décadents de leur dynastie.;Muslime können diesen Kriegsgrund verwenden, um Titel einer dekadenten Dynastie zu übernehmen.;;Los musulmanes pueden usar este Casus Belli para usurpar títulos de sus miembros dinásticos decadentes.;;;;;;;;;x
tribal_organization_desc;Tribal Organization is the counterpart to the feudal Crown Authority laws. However, even highly organized tribes have low control over their vassals.;L'organisation tribale est le pendant des lois féodales touchant à l'autorité de la Couronne. Cependant, même les tribus les plus organisées n'ont que peu de contrôle sur leurs vassaux.;Stammes-Organisation ist das Äquivalent zur feudalen Kronautorität. Allerdings haben selbst gutorganisierte Stämme nur wenig Kontrolle über ihre Vasallen.;;La Organización Tribal es la homóloga a las leyes de la Autoridad de la Corona feudal. No obstante, hasta las tribus mejor organizadas tienen poco control sobre sus vasallos.;;;;;;;;;x
